Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D000601,0026,,"50 DENE TERRACE, CHILTON",Freehold Acquisition,,25-Jun-12,50000
D000601,0030,,"36 DENE TERRACE, CHILTON",Freehold Acquisition,,02-Jul-12,35500
D000601,0008,,"33 DENE TERRACE, CHILTON",Freehold Acquisition,,18-Jul-12,40000
D000601,0005,,"22 DENE TERRACE, CHILTON",Freehold Acquisition,,20-Jul-12,40000
D000601,0009,,"49 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-12,40000
D000601,0001,,"11 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-12,34750
D000601,0002,,"34 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-12,38000
D000601,0003,,"38 DENE TERRACE, CHILTON",Freehold Acquisition,,30-Jul-12,41250
D000601,0006,,"6 DENE TERRACE, CHILTON",Freehold Acquisition,,23-Aug-12,34500
D000601,0007,,"12 DENE TERRACE, CHILTON",Freehold Acquisition,,23-Aug-12,37000
D000616,0001,,"LAND TO THE NORTH WEST OF WEST TERRACE, BURNHOPE, ",Freehold Acquisition,,28-Aug-12,27000
D000621,0001,,"PUBLIC OPEN SPACE - AREAS AROUND EWEHURST ROAD, DI",Freehold Acquisition,,29-Aug-12,0
D000601,0013,,"15 DENE TERRACE, CHILTON",Freehold Acquisition,,17-Sep-12,26000
D000601,0012,,"51 DENE TERRACE, CHILTON",Freehold Acquisition,,27-Sep-12,51000
D000601,0011,,"43 DENE TERRACE, CHILTON",Freehold Acquisition,,27-Sep-12,40000
D000601,0010,,"28 DENE TERRACE, CHILTON",Freehold Acquisition,,09-Oct-12,38000
D000601,0035,,37 DENE TERRACE CHILTON,Freehold Acquisition,,16-Oct-12,50000
FI00078,0109,,LAND ON THE SOUTH SIDE OF SALVUS HOUSE AYKLEY HEADS DURHAM,Freehold Acquisition,,23-Oct-12,0
D000601,0039,,46 DENE TERRACE CHILTON,Freehold Acquisition,,31-Oct-12,35750
