Packet Number,Deed Number,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D403449,0002,"14.9 HECTARES OF LAND AT DEAF HILL, TRIMDON",Disposal,,31-Oct-13,50000
D201228,0002,"LAND AT ST MARGARET'S DRIVE, TANFIELD",Disposal,,01-Nov-13,5000
D201632,0002,"0.609 HECTARES AT NEW KYO LANE, NEW KYO",Disposal,,01-Nov-13,5000
PL00024,0012,5.33 HECTARES AUCKLAND PARK WEST COUNDON GRANGE BISHOP AUCKLAND,Disposal,,01-Nov-13,38000
PL00322,0013,1.07 HECTARES LAND SITUATE AT NEW BRANCEPETH DURHAM COUNTY DURHAM,Disposal,,01-Nov-13,10000
D200877,0002,"0.834 HECTARES OF LAND, STATION FIELDS, STANLEY",Disposal,,04-Nov-13,10000
D700049,0128,"Disposal of 64A Proudfoot Drive, Bishop Auckland, County Durham",Disposal,,08-Nov-13,51250
FI00264,0004,"40 OLD ELVET, DURHAM",Disposal,,13-Nov-13,249950
D402090,0002,"69.79 SQ METRES OF LAND AT CHAPEL LANE, HAWELL",Disposal,,21-Nov-13,3500
D503623,0012,"3.82 HECTARES OF LAND AT COBBLERS FARM, MIDDRIDGE ROAD, NEWTON AYCLIFFE",Disposal,,29-Nov-13,5113589
D401822,0003,"12 MILL ROAD, SEAHAM",Disposal,,02-Dec-13,2071
D402677,0017,"LAND AT 43 WOODLANDS, SEAHAM",Disposal,,05-Dec-13,500
D402677,0018,"41 WOODLANDS, SEAHAM",Disposal,,12-Dec-13,1644.34
PL00076,0063,LAND TO THE SOUTH OF HEIGHINGTON LANE AYCLIFFE BUSINESS PARK NEWTON AYCLIFFE COUNTY DURHAM,Disposal,,18-Dec-13,1800000
D200092,0002,"0.03 HECTARES OF LAND AT PERCY GARDENS, DELVES LANE",Disposal,,19-Dec-13,12000
D200726,0073,THREE SITES AT STANLEY INC. 2.04 ACRES AT EASTFIELDS,Disposal,,29-Jan-14,120000
D201483,0003,"3.07 HECTARES AT THE CRESCENT, TANFIELD LEA",Disposal,,31-Jan-14,60000
D200840,0002,"LAND AT SHIELD ROW LANE, NEW KYO",Disposal,,06-Feb-14,730000
ED00072,0011,"PART CEDAR MEDICAL GROUP, BURNOPFIELD ",Disposal,,14-Feb-14,0
HB01691,0004,"WELLFIELD HIGHWAY DEPOT, CASTLE EDEN ",Disposal,,19-Feb-14,505000
D800170,0002,"CEDARWOOD COMMUNAL HALL, FENCEHOUSES",Disposal,,27-Feb-14,1
D801320,0002,"TWO FOOTPATHS AT LAWSON COURT, CHESTER LE STREET",Disposal,,28-Feb-14,5250
PL00322,0014,1.15 HECTARES OF LAND SITUATE AT NEW BRANCEPETH VILLAGE RECLAMATION SITE NEW BRANCEPETH DURHAM COUNTY DURHAM,Disposal,,12-Mar-14,11000
PL00175,0025,LAND ADJACENT TO 14 PARK VIEW OAKENSHAW CROOK COUNTY DURHAM,Disposal,,18-Mar-14,500
PL00229,0142,0.087 ACRES OF LAND ADJ. TO UNIT 4 LONGFIELD ROAD,Disposal,,19-Mar-14,5000
PL00387,0008,"MARKS QUARRY, RAINTON ADVENTURE COLLIERY & PIT SIT",Disposal,,01-Apr-14,3400
D202705,0002,"0.567HA OF LAND AT THE REAR OF DENECREST, MEDOMSLE",Disposal,,02-Apr-14,9800
D700109,0002,4.57 SQUARE METRES ADJACENT TO 8 SCHOOL CLOSE,Disposal,,02-Apr-14,1000
RD00021,0015,9.05 HECTARES OF LAND AT BROOMSDENE WASTE DISPOSAL,Disposal,,02-Apr-14,119000
ED01392,0004,1.5HA OF LAND AT MICKLE HILL BLACKHALL ROCKS,Disposal,,08-Apr-14,7500
D200961,0002,LAND ADJACENT TO THE TODNER DIPTON STANLEY COUNTY DURHAM,Disposal,,11-Apr-14,13500
D400760,0002,"SUNDERLAND RESOURCE CENTRE, SUNDERLAND ROAD, HORDE",Disposal,,11-Apr-14,45000
HB07269,0013,BOWES HIGHWAY DEPOT,Disposal,,24-Apr-14,162500
ED00603,0005,"BLACKHALL YOUTH CENTRE, EAST STREET, BLACKHALL COL",Disposal,,25-Apr-14,37000
D401804,0003,0.21 HECTARES OF LAND AT ,Disposal,,09-May-14,110000
D200900,0003,"LAND AT THE ALBION INN, BURNOPFIELD",Disposal,,13-May-14,2015
PL00387,0009,"MARKS QUARRY, RAINTON ADVENTURE COLLIERY & RESOLUT",Disposal,,20-May-14,3100
D201556,0002,"LAND AT 45 CONSETT ROAD, CASTLESIDE CONSETT COUNTY DURHAM",Disposal,,21-May-14,3500
D200116,0003,"LAND AT AXFORD TERRACE, HAMSTERLEY",Disposal,,27-May-14,25000
RD00038,0010,1.51 HECTARES AT CREEBECK DARLINGTON,Disposal,,02-Jun-14,20000
D000894,0001,"3 ADELAIDE ROW, SEAHAM",Disposal,,26-Jun-14,2500
D303485,0009,"Land to the West of Front Street, Quarrington hill",Disposal,,27-Jun-14,9500
D200397,0002,"LAND LYING TO THE NORTH EAST OF FOURTH STREET, LEA",Disposal,,01-Jul-14,202500
D402399,0004,"LAND AT THOMPSON STREET, HORDEN",Disposal,,03-Jul-14,9000
D400834,0002,"128.9 SQ M ADJACENT TO 19 AVON ROAD, PETERLEE",Disposal,,18-Jul-14,8500
D202388,0004,"LAND AT BERRY EDGE SOUTH, CONSETT",Disposal,,21-Jul-14,0
SH00057,0046,"Transfer of Land and Buildings at Bridge House Farm, Sedgefield, County Durham ",Disposal,,24-Jul-14,730000
PL00169,0004,LAND SOUTH OF ELVET FARM DARLINGTON ROAD DURHAM COUNTY DURHAM,Disposal,,08-Aug-14,1000
PL00076,0068,LAND AT GRINDON WAY AYCLIFFE BUSINESS PARK NEWTON AYCLIFFE COUNTY DURHAM,Disposal,,11-Aug-14,84000
D800183,0002,PELTON WOOD STREET COMMUNITY BUILDING,Disposal,,18-Aug-14,1
D800676,0002,EDMONDSLEY JUBILEE CLOSE COMMUNITY HALL,Disposal,,18-Aug-14,1
D801143,0002,CHESTER MOOR THE CRESCENT COMMUNAL ROOM,Disposal,,18-Aug-14,1
D801302,0018,CHESTER-LE-STREET SANDERS MEMORIAL HOME ,Disposal,,18-Aug-14,1
D801307,0002,CHESTER MOOR THE CRESCENT COMMUNAL ROOM,Disposal,,18-Aug-14,1
D801320,0003,CHESTER-LE-STREET HAMBLEDON HUT RECREATION ROOM,Disposal,,18-Aug-14,1
D201454,0003,"0.019 HECTARES APPROX. BUTSFIELD LANE, KNITSLEY",Disposal,,02-Sep-14,0
PL00502,0014,UNIT 5 STAINTON GROVE INDUSTRIAL ESTATE,Disposal,,30-Sep-14,23000
D600003,0005,"TEESDALE HOUSE, GALGATE, BARNARD CASTLE",Disposal,,03-Oct-14,650000
PL00502,0015,5.28 HA AT STAINTON GROVE INDUSTRIAL ESTATE,Disposal,,17-Oct-14,300000
SH00057,0047,"WETERTON HOUSE FARM, SEDGEFIELD COUNTY DURHAM",Disposal,,20-Oct-14,499500
D401843,0001,LAND ADJOINING 89 LINDISFARNE PETERLEE,Disposal,,30-Oct-14,5150
D402452,0005,"OPEN SPACE ADJACANT TO 55 WINDS LONNEN, MURTON",Disposal,,30-Oct-14,4000
D800732,0008,LAND ADJACENT TO UNIT 26 STELLA GILL INDUSTRIAL ESTATE PELTON FELL CHESTER LE STREET COUNTY DURHAM,Disposal,,31-Oct-14,8000
D401601,0002,LAND AT CAIN TERRACE/HENDERSON AVENUE,Disposal,,04-Nov-14,62200
ED00909,0007,FORMER EAST DURHAM EDUCATION CENTRE,Disposal,,07-Nov-14,739651
D401096,0002,"LAND AT 5 WEBB SQUARE, HORDEN",Disposal,,10-Nov-14,1
D000950,0001,LAND AT OSWALD TERRACE DALE STREET & DENEWOOD TERR,Disposal,,14-Nov-14,230000
D403063,0010,"LAND ADJ 31 QUIN SQUARE, SOUTH HETTON",Disposal,,14-Nov-14,5100
D403063,0011,"LAND ADJ 30 QUIN SQUARE, SOUTH HETTON",Disposal,,14-Nov-14,5100
D401846,0003,"LAND AT 46 LEE TERRACE, SHOTTON COLLIERY",Disposal,,17-Nov-14,5000
D401810,0002,"FORMER COUNCIL OFFICES, SEASIDE LANE",Disposal,,21-Nov-14,1389668.47
PL00263,0006,57.45 HA AT FORMER BRANDON PIT HOUSE COLLIERY...,Disposal,,08-Dec-14,260000
D200694,0002,WEST KYO HARPERLEY ROAD GRAZING,Disposal,,16-Dec-14,7000
D201454,0004,0.63 HECTARES AT DELVES LANE CONSETT,Disposal,,19-Dec-14,63500
SH00057,0049,SPRUCELY FARM SEDGEFIELD ESTATE LEADING TO WEST PARK GARTH SEDGEFIELD STOCKTON ON TEES COUNTY DURHAM,Disposal,,19-Dec-14,450000
D202707,0002,"0.032 ACRES ADJ TO 93 DURHAM ROAD, LEADGATE",Disposal,,12-Jan-15,0
D303557,0004,"Land at Sherburn, Durham",Disposal,,12-Jan-15,149539
CC00021,0017,"Firstly Binchester Hall and Binchester Hall Farm, Binchester, Bishop Auckland, County Durham DL14 8DJ",Disposal,,28-Jan-15,2000000
SS00035,0003,9 ROGERLEY TERRACE CATCHGATE DURHAM,Disposal,,30-Jan-15,40000
D402532,0004,"GARAGE LAND ADJACENT TO 3 LAUREL AVENUE, SEAHAM",Disposal,,05-Feb-15,4300
D202388,0005,"LAND AT BERRY EDGE SOUTH, CONSETT",Disposal,,09-Feb-15,0
D401822,0005,"46 AMBLESIDE AVENUE, SEAHAM",Disposal,,19-Feb-15,1864
D501527,0004,"143.7 sq m of land adjacent to Enfield Lodge, Central Parade, Shildon",Disposal,,24-Feb-15,9200
D300289,0032,1 ST. BRANDONS GROVE BRANDON DURHAM COUNTY DURHAM,Disposal,,26-Feb-15,3000
D600056,0002,4.36 SQ. M. REAR OF 22 LOW ETHERLEY,Disposal,,04-Mar-15,0
D401601,0004,"3-4 HENDERSON AVENUE, WHEATLEY HILL",Disposal,,18-Mar-15,20000
D201299,0002,"LAND ADJ 26 BRYANS LEAP, BURNOPFIELD",Disposal,,19-Mar-15,1400
HB01376,0009,LAND AT THE FORMER TURSDALE ROAD BOWBURN,Disposal,,20-Mar-15,520890
SS00098,0008,"THE OAKS, WHINFIELD DRIVE, NEWTON AYCLIFFE ",Disposal,,20-Mar-15,130000
D001067,0001,"HOUSING STOCK DURHAM CITY, EASINGTON AND WEAR VALLEY",Disposal,,13-Apr-15,"£114,400,000.00"
D304641,0011,VARIOUS PIECES OF LAND INC. LAND TO THE REAR OF SALVIN STREET CROXDALE DURHAM COUNTY DURHAM,Disposal,,13-Apr-15,1
D401787,0004,PETERLEE 29 YODEN WAY,Disposal,,13-Apr-15,0
D401785,0002,"2 MERIDIAN COURT, PETERLEE",Disposal,,16-Apr-15,0
ED01006,0008,"LAND AT 6 BOWBURN, DURHAM",Disposal,,27-Apr-15,200000
ED01006,0007,MINES AND MINERALS LYING BENEATH LAND AT 6 BOWBURN,Disposal,,27-Apr-15,0
SH00057,0206,"Land at Cowburn Farm, Fishburn, County Durham",Disposal,,30-Apr-15,348422
SH00057,0051,LAND AT COWBURN FARM BUTTERWICK ROAD FISHBURN  SEDGEFIELD STOCKTON ON TEES COUNTY DURHAM,Disposal,,30-Apr-15,1359345
D301576,0004,32 CLAYPATH DURHAM,Disposal,,13-May-15,96500
D403202,0002,STATION TOWN AND DISTRICT COMMUNITY CENTRE,Disposal,,15-May-15,25000
D403539,0004,"GRAZING LAND AT LOW GRANGE, LOW GRANGE FARM, WINGA",Disposal,,15-May-15,1
D401221,0008,"18 NEASHAM ROAD, SEAHAM",Disposal,,19-May-15,1895
D202702,0002,"ENTERPRISE HOUSE, TANFIELD LEA",Disposal,,20-May-15,185000
PL00447,0046,LAND ADJACENT TO UNIT 8 HARVEY COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM ,Disposal,,03-Jun-15,42000
SH00057,0052,LAND AT ISLAND FARM SEDGEFIELD COUNTY DURHAM,Disposal,,10-Jun-15,1260000
PL00447,0047,434.87 SQ.M. OF LAND AT BROCKWELL COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM ,Disposal,,12-Jun-15,5900
D401221,0009,84 NEASHAM ROAD SEAHAM,Disposal,,15-Jun-15,1969
D600059,0005,"LAND SITUATE AT QUARRY HEADS, TOFT HILL, BISHOP AU",Disposal,,03-Jul-15,3000
D800654,0002,GRANGE VILLA STONE ROW READING ROOMS,Disposal,,09-Jul-15,15000
ED00992,0005,SOUTH PELAW INFANT SCHOOL,Disposal,,10-Jul-15,0
D201935,0002,LAND PART OF EWEHURST ESTATE FLINT HILL DIPTON STANLEY COUNTY DURHAM,Disposal,,15-Jul-15,6135778
D700201,0011,"Transfer of land adjoining 30 Bourne Way, Willington, Crook, County Durham",Disposal,,27-Jul-15,4000
D300289,0035,FORMER BRANDON HOUSE BRIAR AVENUE BRANDON DURHAM COUNTY DURHAM,Disposal,,28-Jul-15,1
D401574,0002,SOUTH TERRACE EMPIRE SERVICE STATION,Disposal,,30-Jul-15,40000
D800342,0002,69.1 SQUARE METRES OF LAND ADJ TO 28 ROTHESAY ,Disposal,,30-Jul-15,5100
PL00477,0005,4.66 ACRES OF LAND AT BILLY ROW CROOK COUNTY DURHAM,Disposal,,30-Jul-15,15000
D301968,0003,"Land adj 53 Whinney Hill, Durham",Disposal,,12-Aug-15,22500
HB00180,0007,"97.92 SQ. METRES OF LAND AT PARK ROAD NORTH, CHEST",Disposal,,21-Aug-15,20000
D201454,0005,"LAND TO THE REAR OF KNITSLEY NOOK, DELVES LANE,",Disposal,,25-Aug-15,45000
D201267,0002,COMMUNAL ROOMS FIR TERRACE BURNOPFIELD NEWCASTLE UPON TYNE,Disposal,,22-Sep-15,33750
PL00148,0029,LAND AT NORTH BITCHBURN RECLAMATION SITE,Disposal,,29-Sep-15,104000
D800032,0003,x,Disposal,,02-Oct-15,2800
PL00282,0029,LAND AT RENNYS LANE SHERBURN DURHAM COUNTY DURHAM,Disposal,,05-Oct-15,0
D401822,0004,2 MILL ROAD SEAHAM,Disposal,,08-Oct-15,1699
D400050,0002,"0.029 ACRES APPROX, SOUTH SIDE OF FRONT STREET",Disposal,,12-Oct-15,9500
SS00124,0004,GRAMPIAN HOUSE RESIDENTIAL CARE HOME,Disposal,,15-Oct-15,155000
D000602,0004,LAND ADJACENT TO 1 FARFIELD MANOR SEDGEFIELD STOCKTON-ON-TEES COUNTY DURHAM,Disposal,,20-Oct-15,3500
D800894,0002,THE PIGGERIES GREAT LUMLEY CHESTER LE STREET COUNTY DURHAM,Disposal,,22-Oct-15,17800
D201469,0004,1075.72 SQ. M. AT MORRISON INDUSTRIAL ESTATE,Disposal,,28-Oct-15,12850
SH00049,0048,"5,7 & 28 MANOR HOUSE ESTATE",Disposal,,09-Nov-15,174000
D000505,0003,"GABLE WALL 5 NORMAN TERRACE, CHILTON",Disposal,,12-Nov-15,1
D001381,0004,LAND AT AGNEW 5 NEWTON AYCLIFFE,Disposal,,20-Nov-15,2560000
ED00695,0005,MURTON COMMUNITY CENTRE,Disposal,,20-Nov-15,44470
D202649,0002,LAND LYING TO THE REAR OF BUTSFIELD LANE,Disposal,,30-Nov-15,7621
D402677,0020,53 WOODLANDS ,Disposal,,04-Dec-15,3334
D201237,0004,"LAND ADJOINING CRAGHEAD MEDICAL CENTRE, CRAGHEAD",Disposal,,09-Dec-15,10000
D800801,0002,LAND AT THE FORMER DOG AND GUN PUBLIC HOUSE,Disposal,,15-Dec-15,35000
PL00313,0007,PLOTS 1 & 3 BARFORD CAMP BARNARD CASTLE,Disposal,,15-Dec-15,65000
D201118,0002,"DIPTON COMMUNAL ROOM,  FRONT STREET, DIPTON",Disposal,,21-Dec-15,30000
D202529,0007,"LAND AT CROOKHALL COTTAGES, CROOKHALL",Disposal,,21-Jan-16,2000
D600041,0002,0.169.91 SQ. M. (0.042 ACRES) OR THEREABOUTS OF LA,Disposal,,22-Jan-16,1900
LM00103,0011,SHILDON FORMER TRAILER LIBRARY SITE,Disposal,,26-Jan-16,0
D700157,0003,ELITE HALL MILITARY ROW CROOK,Disposal,,28-Jan-16,131000
SS00156,0011,CHEVELEY HOUSE FORMER RESIDENTIAL HOME,Disposal,,29-Jan-16,541950
ED00066,0005,WESTGATE SCHOOL,Disposal,,05-Feb-16,135000
PL00390,0024,LAND SOUTH WEST OF PARKHEAD GREENCROFT INDUSTRIAL PARK STANLEY COUNTY DURHAM,Disposal,,15-Feb-16,30000
D402658,0006,THE GREEN NORTH TERRACE WAR MEMORIAL & OPEN SPACE,Disposal,DIS00237,24-Feb-16,0
ED00404,0036,BELMONT C OF E (CONTROLLED) PRIMARY SCHOOL(2) ,Disposal,,10-Mar-16,0
ED01493,0003,SACRISTON PLAWSWORTH ROAD FORMER INFANT SCHOOL,Disposal,,17-Mar-16,52541
CC00011,0003,TOW LAW HIGH HOUSELOP PICNIC AREA,Disposal,,18-Mar-16,48000
PL00055,0015,SPENNYMOOR FRMR WHITWORTH PARK COLL RANSOM STRIP ,Disposal,,24-Mar-16,650000
CC00017,0006,TOW LAW COLLIER WOOD PICNIC AREA,Disposal,,05-Apr-16,40000
D800732,0015,LAND ADJACENT TO UNIT 26 STELLA GILL INDUSTRIAL ESTATE PELTON FELL CHESTER LE STREET COUNTY DURHAM,Disposal,,19-Apr-16,0
D200897,0002,"LAND ADJACENT TO DUNN STREET, ANNFIELD PLAIN STANLEY COUNTY DURHAM",Disposal,,21-Apr-16,5000
D201856,0033,FORMER HAMSTEELS PRIMARY SCHOOL ROWLEY CRESCENT ESH WINNING DURHAM COUNTY DURHAM,Disposal,,29-Apr-16,265905.86
PL00502,0018,UNIT 6 STAINTON GROVE INDUSTRIAL ESTATE,Disposal,,29-Apr-16,25000
PL00220,0022,"275.76 SQ.M LAND AT BUDDLE HOUSE, HIGH PITTINGTON ",Disposal,,04-May-16,1750
PL00227,0053,"LAND ADJACENT TO STATION HOUSE, ST HELEN AUCKLAND",Disposal,,13-May-16,10000
HB01691,0005,x,Disposal,,02-Jun-16,7000
D200118,0002,SITE OF FORMER COMMUNITY CENTRE ,Disposal,,06-Jun-16,16000
D402677,0021,"8 MILL ROAD, SEAHAM",Disposal,,16-Jun-16,1925
D202529,0009,CROOKHALL LAND ADJOINING FIRST STREET,Disposal,,20-Jun-16,15199
ED00202,0007,GREENLANDS COMMUNITY INFANT SCHOOL ,Disposal,,20-Jun-16,162500
LM00022,0008,SEAHAM LIBRARY SITE EASTDENE ROAD,Disposal,,20-Jun-16,47000
D000602,0006,LAND ADJ TO 4 MEADOW HILL SEDGEFIELD STOCKTON-ON-TEES COUNTY DURHAM,Disposal,,01-Jul-16,10500
D401221,0010,41 BURNHALL DRIVE (AKA 43B BURNHALL DRIVE) ,Disposal,,11-Jul-16,2916
D800960,0002,LAND ADJACENT TO 16 LICHFIELD CLOSE GREAT LUMLEY,Disposal,,13-Jul-16,2685
D800960,0003,"LAND AT 14 LICHFIELD CLOSE, GREAT LUMLEY",Disposal,,13-Jul-16,2600
ED01582,0005,NEWTON AYCLIFFE WELLHOUSE NURSERY SITE,Disposal,,14-Jul-16,45000
D200408,0002,LAND AT DUNELM CLOSE LEADGATE CONSETT COUNTY DURHAM,Disposal,,15-Jul-16,6000
PL00036,0038,LAND AT GREEN LANE INDUSTRIAL ESTATE PLOT 3 SPENNYMOOR,Disposal,,28-Jul-16,8000
ED01592,0004,OUSTON BUSTY JUNIOR SCHOOL SITE,Disposal,,03-Aug-16,733755
D400410,0002,EASINGTON 3-4 BEDE STREET,Disposal,,12-Aug-16,20000
ED00047,0007,MIDDLESTONE MOOR FORMER PRIMARY PLAYING FIELD,Disposal,,17-Aug-16,276628
ED00047,0006,MINES & MINERALS BENEATH MIDDLESTONE MOOR FORMER PRIMARY PLAYING FIELD,Disposal,,17-Aug-16,0
D801063,0002,WEST PELTON EDENFIELD OPEN SPACE (PART),Disposal,,18-Aug-16,4000
SS00063,0005,CHESTER-LE-STREET MENDIP HOUSE RESIDENTIAL HOME,Disposal,,22-Aug-16,140000
D402677,0022,SEAHAM 25 BURNHALL DRIVE,Disposal,,02-Sep-16,2373
D303485,0002,QUARRINGTON HILL W OF FRONT STREET STH OPEN SPACE/ALLOTMENTS,Disposal,,07-Sep-16,1750
D304276,0004,Various Sites in Coxhoe & Quarrington Hill,Disposal,,07-Sep-16,4970
D700692,0023,"446.26sq.m to the rear of Institute Street, Oakenshaw",Disposal,,23-Sep-16,10000
ED00374,0007,STANLEY CROOK PRIMARY SCHOOL PUMPING STATION,Disposal,,30-Sep-16,0
D302650,0006,"30M OR THEREABOUTS, WAR MEMORIAL, DURHAM VIEW, FRAMWELLGATE MOOR",Disposal,,03-Oct-16,1
ED01280,0012,x,Disposal,,03-Oct-16,115666
ED00187,0007,ELDON LANE SITE OF FORMER PRIMARY SCHOOL (PART),Disposal,,10-Oct-16,1000
D202022,0005,NEW KYO MORRISON BY-PASS WOODLAND ,Disposal,,20-Oct-16,1
D401221,0011,30 NEASHAM ROAD SEAHAM (FREEHOLD REVERSION),Disposal,,20-Oct-16,2296
D402154,0007,HASWELL TO HART WALKWAY LAND ,Disposal,,26-Oct-16,3200
SH00039,0010,BLUESTONE FARM LOWLANDS COCKFIELD BISHOP AUCKLAND COUNTY DURHAM,Disposal,,31-Oct-16,582000
SH00057,0053,"MILL HOUSE FARM, SEDGEFIELD ESTATE, FISHBURN  ",Disposal,,01-Nov-16,710000
D000914,0002,COXHOE OPEN SPACE CORONATION TERRACE,Disposal,,14-Nov-16,4000
ED01461,0008,SHOTTON COLLIERY COMMUNITY CENTRE,Disposal,,18-Nov-16,1
D800252,0021,x,Disposal,,22-Nov-16,33870.6
D801320,0004,"LAND AT RIDDELL COURT, CHESTER LE STREET ",Disposal,,30-Nov-16,0
D800100,0002,"LAND AT THE GREEN, NETTLESWORTH",Disposal,,05-Dec-16,5000
D800997,0003,OUSTON URPETH GRANGE OPEN SPACE 01,Disposal,,12-Dec-16,7900
D401463,0003,PETERLEE YODEN WAY OPEN SPACE,Disposal,,13-Dec-16,550000
HB02259,0003,"LAND ADJACENT TO MANOR HOUSE, BISHOP MIDDLEHAM ",Disposal,,21-Dec-16,7500
D800252,0002,"GARAGES AT 15, 23, 26, AND 27 GAIRLOCH DRIVE, PERKINSVILLE, CHESTER LE STREET. ",Disposal,,16-Jan-17,1
D400006,0002,SEAHAM ADJ 28 NORTH TERRACE OPEN SPACE,Disposal,,01-Feb-17,350000
HB03400,0003,"LAND AT RENNYS LANE, DURHAM",Disposal,,01-Feb-17,50000
D401800,0002,EASINGTON ROSEMARY LANE OPEN SPACE,Disposal,,02-Feb-17,4500
D201780,0002,TANFIELD LEA INDUSTRIAL ESTATE LAND,Disposal,DIS00215,06-Feb-17,33333
SH00057,0054,FISHBURN SYCAMORE ROAD GARDEN LAND,Disposal,,07-Feb-17,16445
D700036,0004,"Land adjacent to The Mason's Arms, Etherley Dene, Bishop Auckland",Disposal,,09-Feb-17,8600
D202752,0002,CRAGHEAD PROVIDENT TERRACE OPEN SPACE,Disposal,,15-Feb-17,7686
D503180,0002,SEDGEFIELD EAST PARADE OPEN SPACE,Disposal,,16-Feb-17,1
D502307,0003,"LAND AT COMPOUND 2, MERRINGTON LANE, SPENNYMOOR",Disposal,,23-Feb-17,8000
D201793,0002,CRAGHEAD OAK TERRACE OPEN SPACE,Disposal,,03-Mar-17,5522
PL00042,0047,LAND ADJACENT TO 19 TEMPERANCE TERRACE BILLY ROW CROOK,Disposal,,17-Mar-17,1
ED01070,0004,"CROOKHALL FORMER SCHOOL SITE, CONSETT",Disposal,,06-Apr-17,20000
D301985,0002,"FORMER ELVET SWIMMING BATHS, DURHAM CITY",Disposal,,11-Apr-17,1100000
ED00768,0014,FORMER ESH WINNING PRIMARY SCHOOL,Disposal,,12-Apr-17,250000
HB00202,0002,"LAND BEING THE FORMER PUBLIC CONVENIENCES ADJACENT TO 1 WEST TERRACE, AYCLIFFE VILLAGE",Disposal,,19-Apr-17,2000
ED01526,0007,DARLINGTON SPRINGFIELD FORMER COUNTY SCHOOL,Disposal,,20-Apr-17,1
D302335,0002,LAND FRONT STREET SHERBURN HILL DURHAM,Disposal,,26-Apr-17,0
D600089,0003,BARNARD CASTLE NORTH QUEEN ST POTENTIAL CAR PARK,Disposal,,09-May-17,125000
D401221,0012,SEAHAM 14 NEASHAM ROAD,Disposal,,17-May-17,850
D200694,0003,WEST KYO HARPERLEY ROAD ALLOTMENTS,Disposal,,19-May-17,11000
D402677,0023,"19 BURNHALL DRIVE, SEAHAM (FREEHOLD REVERSION)",Disposal,,23-May-17,1883
D800997,0005,OUSTON URPETH GRANGE OPEN SPACE 01 ,Disposal,,25-May-17,8684
HB05770,0002,SPENNYMOOR GREEN LANE OPEN SPACE/FORMER HIGHWAY,Disposal,,26-May-17,42500
PL00447,0049,375.63 SQ.M LAND AT BROCKWELL COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM ,Disposal,,31-May-17,5100
D200077,0003,CONSETT PROMENADE/WEST MEDOMSLEY ROAD OPEN SPACE,Disposal,,06-Jun-17,250
D500443,0016,CHILTON INDUSTRIAL ESTATE COMPOUND 9,Disposal,,12-Jun-17,12700
D700134,0002,SPRINGFIELD ALLOTMENTS,Disposal,,12-Jun-17,0
D700204,0002,ROSEDALE AND VICTORIA ALLOTMENTS,Disposal,,12-Jun-17,0
D700580,0002,PARK TOP ALLOTMENTS  ,Disposal,,12-Jun-17,0
D700692,0002,OAKENSHAW ALLOTMENTS,Disposal,,12-Jun-17,0
SS00310,0002,9 DERWENT AVENUE WEST AUCKLAND ,Disposal,,12-Jun-17,102000
SS00190,0005,PETERLEE SITE OF FORMER SHINWELL CENTRE,Disposal,,13-Jun-17,320800
D202529,0010,CROOKHALL ADJOINING EAST STREET GRAZING,Disposal,,16-Jun-17,10500
D800335,0002,"LAND ADJACENT TO 25 CHARLAW CLOSE, SACRISTON",Disposal,,23-Jun-17,1652.21
LM00100,0003,FORMER CROOK MOBILE LIBRARY GARAGE,Disposal,,23-Jun-17,18150
SH00049,0055,"LAND AT FRONT STREET, HUTTON HENRY",Disposal,,28-Jun-17,750
D200257,0002,"LAND AT WOOD STREET, SHOTLEY BRIDGE",Disposal,,05-Jul-17,7000
D502624,0002,LAND ADJACENT TO 138 BROCKETT CLOSE NEWTON AYCLIFFE,Disposal,,07-Jul-17,0
D700062,0002,COUNDON GRANGE RANDOLPH STREET ALLOTMENTS,Disposal,,12-Jul-17,0
D700349,0002,"CLOSE HOUSE ALLOTMENTS, GURNEY VALLEY",Disposal,,12-Jul-17,0
D700799,0002,"CORONATION ALLOTMENTS, BISHOP AUCKLAND",Disposal,,12-Jul-17,0
D502635,0002,"LAND AT 44 JACKSON STREET, SPENNYMOOR",Disposal,DIS00291,17-Jul-17,3450
D800960,0004,"84.48M2 OR THEREABOUTS OF LAND ADJACENT 14 CANTERBURY CLOSE, GREAT LUMLEY",Disposal,,21-Jul-17,6900
ED00444,0008,"FORMER COMMUNITY CENTRE, JUBILEE STREET, TORONTO, BISHOP AUCKLAND",Disposal,,03-Aug-17,70000
D001318,0002,THE FORMER STANLEY BUS STATION AND LAND AT FRONT STREET STANLEY,Disposal,,04-Aug-17,1195700
D403539,0005,"LAND ADJACENT TO LOW GRANGE FARM, WINGATE",Disposal,,08-Aug-17,15000
D200073,0002,"LAND AT THE FORMER GARAGE SITE CHAYTOR ROAD, BRIDGEHILL, CONSETT",Disposal,,09-Aug-17,8550
D201734,0002,LAND ADJACENT TO 78 ACTON DENE STANLEY,Disposal,,17-Aug-17,1
D700256,0002,LAND ADJACENT TO 1 GOODS STATION COTTAGES,Disposal,,18-Aug-17,3850
