Packet Number,Deed Number,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D500185,0002,"LAND ADJACENT TO CUTHBERT STREET, SPENNYMOOR ",Disposal,,11-Feb-11,70000
D202529,0003,LAND OPPOSITE 19 MAIN STREET CROOKHALL,Disposal,,15-Feb-11,5000
HB12146,0004,LAND ON EAST SIDE OF SOUTH DURHAM ROAD,Disposal,,17-Feb-11,11150
PL00447,0035,LAND AT HARVEY COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM ,Disposal,,10-Mar-11,30000
SS00003,0005,PONTOP CENTRE HARELAW,Disposal,,17-Mar-11,80000
ED01246,0008,LAND ADJACENT TO GILESGATE PRIMARY SCHOOL DURHAM,Disposal,,18-Mar-11,200000
LM00050,0009,"LAND AT SOUTH STREET, DURHAM",Disposal,,23-Mar-11,20000
D302325,0002,"BYLAND LODGE, HAWTHORN TERRACE, DURHAM CITY ",Disposal,,25-Mar-11,1300000
PL00447,0036,0.1250 ACRES OF LAND AT BROCKWELL COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM,Disposal,,31-Mar-11,16000
D403515,0002,"LAND SOUTH OF CROWS HOUSE, WHEATLEY HILL - ",Disposal,,05-Apr-11,11000
D401724,0002,"LAND AT MAZINE TERRACE, HASWELL - LOT 2",Disposal,,08-Apr-11,170000
D402881,0003,"LAND AT SHOTTON LANE, SHOTTON COLLIERY - LOT 3",Disposal,,08-Apr-11,90000
PL00110,0059,"GRAZING LAND AT HIGH HANDENHOLD, BEAMISH",Disposal,,08-Apr-11,8000
PL00186,0002,"LAND ADJACENT TO BUSTY BANK, BURNOPFIELD",Disposal,,08-Apr-11,21000
PL00112,0076,"LAND ADJACENT TO BLUE HOUSE FARM, CHILTON",Disposal,,11-Apr-11,220000
D201671,0002,"LAND AT LARCH TERRACE, TANTOBIE, STANLEY",Disposal,,14-Apr-11,0
ED00935,0006,ROCK HOUSE COMMUNITY CENTRE,Disposal,,18-Apr-11,158008
D202388,0002,"LAND LYING TO THE WEST OF ARKLESS GROVE, CONSETT",Disposal,,20-Apr-11,1
D000356,0001,"20.73 HA AT LOW GRANGE FARM, WINGATE",Disposal,,21-Apr-11,160000
D202388,0034,"GP34 Land at Consett, County Durham",Disposal,,21-Apr-11,unknown
D000355,0001,"GARDEN LAND 3 BELMONTE AVENUE, BLACKHALL",Disposal,,27-Apr-11,1000
ED00299,0010,"TUDHOE GRANGE SCHOOL, DURHAM ROAD, SPENNYMOOR",Disposal,,18-May-11,1
ED00881,0009,TUDHOE GRANGE SCHOOL ST CHARLES ROAD SPENNYMOOR,Disposal,,18-May-11,1
ED00926,0023,"SPENNYMOOR COMPREHENSIVE SCHOOL, WHITWORTH ROAD, S",Disposal,,18-May-11,1
D202764,0002,LAND ADJ. 37 RAILWAY STREET CRAGHEAD,Disposal,,27-May-11,1
D402648,0002,"54 AMBLESIDE AVENUE, SEAHAM",Disposal,,27-May-11,1654
D201861,0002,LAND AT MORRISON BUSTY INDUSTRIAL ESTATE,Disposal,,12-Jul-11,0
PL00211,0052,LAND SOUTH OF WALLNOOK LANE LANGLEY PARK DURHAM COUNTY DURHAM,Disposal,,13-Jul-11,0
HB10630,0006,"LAND AT STANNERS LANE, PAGE BANK, SPENNYMOOR",Disposal,,05-Sep-11,4295
D200067,0013,328.4SQ METRES OF LAND AJACENT TO ST. ANDREWS CHURCH HALL BLACKHILL CONSETT COUNTY DURHAM,Disposal,,15-Sep-11,17200
D302537,0003,73 LIDDLE AVENUE SHERBURN DURHAM COUNTY DURHAM,Disposal,,23-Sep-11,50500
PL00281,0014,LAND AT COLLIERY LANE BEARPARK DURHAM COUNTY DURHAM,Disposal,,26-Sep-11,90397
D201469,0002,69.48 SQ. M. OF LAND ADJACENT TO UNIT 4 MORRISON INDUSTRIAL ESTATE,Disposal,,29-Sep-11,2750
D202755,0002,LAND AT 3 WYLAM STREET CRAGHEAD,Disposal,,05-Oct-11,1
D501050,0036,"0.368 Hectares of land at Fishburn Industrial Estate, Fishburn County Durham",Disposal,,25-Oct-11,25000
SS00205,0004,"FORMER EAST GREEN CARE HOME, WEST AUCKLAND, BISHOP",Disposal,,28-Oct-11,60000
PL00390,0018,13.2 ACRES OF LAND SOUTH OF PARKHEAD GREENCROFT INDUSTRIAL PARK STANLEY COUNTY DURHAM,Disposal,,04-Nov-11,180000
ED00593,0029,1.4 ACRES OF LAND AT FORMER PELTON PRIMARY SCHOOL,Disposal,,16-Nov-11,500000
SH00049,0047,"30 MANOR HOUSE ESTATE, HUTTON HENRY",Disposal,,16-Nov-11,58000
D401634,0002,"GARAGE NO.27 SEA VIEW WALK, MURTON",Disposal,,23-Nov-11,1
ED01259,0007,"WINDLESTONE HALL, RUSHYFORD, CHILTON",Disposal,,29-Nov-11,241000
ED00551,0008,ST JOHNS RC COMPREHENSIVE SCHOOL & 6TH FORM COLLEGE,Disposal,,01-Dec-11,0
D600022,0003,"LAND AT EAST END GARAGE, FRONT STREET, COCKFIELD",Disposal,,07-Dec-11,52000
D400912,0002,"LAND ADJOINING 54 CHEVIOT PLACE, PETERLEE",Disposal,,08-Dec-11,3500
SS00232,0013,ANNFIELD PLAIN CENTRE,Disposal,,08-Dec-11,1000
D300220,0013,Land at Ridding Road Esh Winning,Disposal,,22-Dec-11,103575
D700163,0015,"Bedburn Community Rooms, Bedburn Close, Crook",Disposal,,09-Jan-12,10000
SS00078,0005,"FORMER SHAFTO HOUSE CARE HOME, NEWTON AYCLIFFE",Disposal,,13-Jan-12,302109
SS00135,0004,"FORMER HACKWORTH HOUSE CARE HOME, SHILDON",Disposal,,13-Jan-12,200001
D401822,0001,"10 MILL ROAD, SEAHAM",Disposal,,16-Jan-12,1990
D401228,0002,"19 NEASHAM ROAD, SEAHAM",Disposal,,24-Jan-12,1747
SS00225,0005,"LAND ADJACENT TO DURHAM ARMY CADET HQ, CHESTER RD",Disposal,,02-Feb-12,60000
D401823,0002,"LAND ADJACENT TO GOWLAND HOUSE, WHEATLEY HILL",Disposal,,17-Feb-12,11750
D401823,0003,"LAND SOUTH OF LYNN TERRACE, WHEATLEY HILL",Disposal,,17-Feb-12,14000
D201671,0003,"LAND AT LARCH TERRACE, TANTOBIE, STANLEY",Disposal,,21-Feb-12,1200
PL00042,0035,LOT 2 COMPRISING 1.25 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,18000
PL00042,0036,LOT 3 COMPRISING 2.80 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,28000
PL00042,0037,LOT 4 COMPRISING 7.96 ACRES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,73000
PL00042,0038,LOT 5 COMPRISING 5.91 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,41500
PL00042,0039,LOT 7 COMPRISING 8.97 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,47748.19
PL00042,0040,LOT 11 COMPRISING 4.59 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,49000
PL00042,0041,LOT 12 COMPRISING 0.81 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,13500
PL00042,0042,LOT 13 COMPRISING 3.64 HECTARES OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,27500
PL00042,0043,LOT 8 COMPRISING 2.25 HA OF LAND AT RODDYMOOR FARM CROOK,Disposal,,24-Feb-12,31000
HB07409,0007,LAND AT WEST CHILTON,Disposal,,01-Mar-12,0
HB11996,0011,ALLOTMENTS AND LAND AT WEST CHILTON FARM CHILTON,Disposal,,01-Mar-12,0
D401724,0003,"LAND AT MAZINE TERRACE, HASWELL",Disposal,,09-Mar-12,39250
D401724,0004,"LAND AT MAZINE TERRACE, HASWELL",Disposal,,09-Mar-12,41750
D401830,0001,"LAND AT MAZINE TERRACE, HASWELL",Disposal,,09-Mar-12,16750
D202756,0002,"13 WYLAM STREET, CRAGHEAD, STANLEY, DH9 6ER",Disposal,,13-Mar-12,0
D402301,0002,"LAND SOUTH OF HILLCREST PLACE, HESLEDEN",Disposal,,15-Mar-12,12250
D403539,0003,"LAND AT WOODMANS COTTAGE, WINGATE",Disposal,,15-Mar-12,10900
HB11853,0002,"LAND AT WEST CHILTON TERRACE, CHILTON",Disposal,,15-Mar-12,1
D301248,0006,PART OF THE LAND AT THE SANDS FREEMANS PLACE DURHAM,Disposal,,16-Mar-12,on condition of sales agreement-unknown
SS00206,0016,"FORMER AYCLIFFE YOUNG PEOPLE'S CENTRE, NEWTON AYCL",Disposal,,20-Mar-12,1000000
D300012,0039,LAND AT COLLEGE VIEW ESH WINNING DURHAM COUNTY DURHAM,Disposal,,23-Mar-12,52269
PL00220,0020,"LAND AT ELIZABETH COURT, HIGH PITTINGTON",Disposal,,23-Mar-12,0
D402677,0003,"51 WOODLANDS, SEAHAM",Disposal,,27-Mar-12,1966
D201570,0002,"FORMER PUBLIC TOILET BLOCK AT FRONT STREET, CASTLE",Disposal,,30-Mar-12,4000
D401834,0002,LAND AT HESLEDEN,Disposal,,30-Mar-12,35250
ED00246,0007,LAND COMPRISING THE SITE OF THE FORMER USHAW MOOR ,Disposal,,30-Mar-12,366235
HB09796,0004,"LAND SOUTH OF BOWES DEPOT, BARNARD CASTLE",Disposal,,02-Apr-12,8956
PL00042,0044,LOTS 9 & 10 RODDYMOOR FARM CROOK,Disposal,,10-Apr-12,122780
PL00183,0031,"1358 SQ M OF LAND AT HOWLETT YARD, PELTON",Disposal,,16-Apr-12,40000
D401228,0003,"BURNWAY DAY CENTRE, SEAHAM",Disposal,,27-Apr-12,75000
PL00175,0024,8.24 ACRES LAND AT BRANCEPETH COLLIERY RECLAMATION SITE WILLINGTON CROOK COUNTY DURHAM,Disposal,,03-May-12,60000
D202581,0001,"LAND AND BUILDINGS COMPRISING STEEL HAVEN, CONSTAN",Disposal,,04-May-12,152250
D403515,0003,"LAND SOUTH OF CROWS HOUSE, WHEATLEY HILL",Disposal,,09-May-12,1
D401397,0002,"6 DODDS CLOSE, WHEATLEY HILL",Disposal,,11-May-12,0
FB00034,0003,LAND AT WHEATLEY HILL,Disposal,,14-May-12,5200
HB09872,0005,"63.86 SQ M LAND OPPOSITE GILL STREET, CONSETT",Disposal,,15-May-12,0
PL00042,0046,LOT 6 RODDYMOOR FARM RODDYMOOR CROOK,Disposal,,23-May-12,57000
D201562,0002,LAND ADJACENT TO 15 ROSE COURT ESH WINNING DURHAM COUNTY DURHAM,Disposal,,25-May-12,500
D200324,0002,LAND ADJACENT TO 2 STATION COTTAGES SHOTLEY BRIDGE,Disposal,,21-Jun-12,11200
D304806,0005,"162.69 sqm of land adjacent to 10 Yorkshire Drive, Belmont Durham",Disposal,,21-Jun-12,7000
D700821,0009,LAND NORTH OF THE WILLOWS HEPWORTH LANE HUNWICK CROOK COUNTY DURHAM,Disposal,,21-Jun-12,12500
D401221,0003,"3 NEASHAM ROAD, SEAHAM",Disposal,,29-Jun-12,1698
D401221,0004,"16 NEASHAM ROAD, SEAHAM",Disposal,,17-Jul-12,1730
CC00025,0045,"1.68 ACRES OF LAND ADJACENT TO THE INN ON THE GREEN, WALDRIDGE FELL",Disposal,,20-Jul-12,47000
D401822,0002,"48 AMBLESIDE AVENUE, SEAHAM",Disposal,,23-Jul-12,1399.36
D201788,0002,"FORMER STANLEY REGISTRARS OFFICE, 7 THORNEYHOLME T",Disposal,,27-Jul-12,28000
ED01609,0012,FORMER FUTURE HORIZONS BUILDING ADJACENT TO AN,Disposal,,27-Jul-12,36000
D402881,0002,0.148 HECTARES OF LAND SITUATE AT SHOTTON COLLIERY,Disposal,,03-Aug-12,1800
D201078,0003,"0.597 HA AT LOWERY LANE, CRAGHEAD",Disposal,,13-Aug-12,10000
D201078,0002,0.377 HECTARES OR THEREABOUTS OF LAND AT LOWERY LA,Disposal,,13-Aug-12,6500
D200900,0002,"LAND AT 48 ALBION GARDENS, BURNOPFIELD",Disposal,,20-Aug-12,1
ED01477,0008,WOODHAM SCHOOL OF TECHNOLOGY NEWTON AYCLIFFE,Disposal,,01-Sep-12,0
D200319,0002,"LAND ADJACENT TO 12 KELLY CLOSE, BLACKHILL",Disposal,,12-Sep-12,1
D401153,0002,"BRUCE KIRKUP DAY CENTRE, 1 BRUCE KIRKUP ROAD, HORD",Disposal,,14-Sep-12,48050
D201815,0002,"LAND ADJACENT TO 9 HIGH FRIARSIDE, BURNOPFIELD",Disposal,,17-Sep-12,500
D200116,0002,"LAND AT DERWENT CRESCENT, HAMSTERLEY",Disposal,,28-Sep-12,0
PL00447,0039,0.0766 ACRES OF LAND AT BROCKWELL COURT LOW WILLINGTON INDUSTRIAL ESTATE WILLINGTON CROOK COUNTY DURHAM,Disposal,,28-Sep-12,2000
ED01242,0020,"DURHAM JOHNSTON SCHOOL REDHILLS LANE ANNEX, DURHAM",Disposal,,12-Oct-12,1634446
D201853,0002,"LAND ADJACENT TO HOLME LEA, CRAGHEAD LANE, CRAGHEA",Disposal,,18-Oct-12,5000
D402677,0011,76 NEASHAM ROAD SEAHAM,Disposal,,19-Oct-12,1697.85
D402677,0010,74 NEASHAM ROAD SEAHAM,Disposal,,19-Oct-12,1715.59
ED00017,0026,0.9143 ACRES LAND AT CROOK NURSERY & PRIMARY SCHOOL,Disposal,,25-Oct-12,118000
D401221,0007,"78 NEASHAM ROAD, SEAHAM",Disposal,,01-Nov-12,1711.51
D401221,0005,"20 NEASHAM ROAD, SEAHAM",Disposal,,08-Nov-12,1701.95
D401221,0006,"45 BURNHALL, SEAHAM",Disposal,,08-Nov-12,2559.14
RD00009,0009,LAND AT POTTERHOUSE LANE PITY ME,Disposal,,08-Nov-12,33110
D401841,0001,"LAND AT BEECH GROVE, HESLEDEN",Disposal,,12-Nov-12,26000
D400615,0002,"POPLAR HOUSE & 25/26 WELFARE CLOSE, EASINGTON COLL",Disposal,,15-Nov-12,72150
D400938,0002,"5 WHINFIELD AVENUE, SHOTTON COLLIERY",Disposal,,15-Nov-12,40000
D401846,0001,"4 CROSSFIELD CRESCENT, SHOTTON COLLIERY",Disposal,,15-Nov-12,40000
ED00527,0010,"FORMER BOURNMOOR COMMUNITY CENTRE, BOURNMOOR",Disposal,,21-Nov-12,490000
D401231,0002,AIRLIE HOUSE COAST ROAD HARTLEPOOL,Disposal,,26-Nov-12,48000
D403427,0002,"LAND SOUTH OF HARTLEPOOL STREET, THORNLEY",Disposal,,30-Nov-12,2000
PL00177,0064,LAND AT 7 RAILWAY TERRACE STANLEY CROOK COUNTY DURHAM,Disposal,,30-Nov-12,18750
PL00231,0039,GRAZING LAND SOUTH OF ESHWOOD STREET NEW BRANCEPETH DURHAM COUNTY DURHAM,Disposal,,04-Dec-12,25000
D700901,0003,"Land south of Jackson Street, Coundon Grange",Disposal,,05-Dec-12,25000
ED01545,0008,"EARLS ORCHARD OUTDOOR FIELD STUDY CENTRE, SLEEGILL",Disposal,,19-Dec-12,415000
D700338,0005,WEST AUCKLAND PADDOCK ROSSLYN HOUSE OAKLEY GREEN,Disposal,,21-Dec-12,8000
D503557,0005,"Land adjacent to Fire Station, Central Avenue, Newton Aycliffe",Disposal,,30-Dec-12,125000
D200080,0002,"LAND AT CUTLERS HALL ROAD, SHOTLEY BRIDGE",Disposal,,11-Jan-13,5000
D200331,0004,"0.73 HECTARES AT SHOTLEY GROVE, SHOTLEY BRIDGE",Disposal,,11-Jan-13,11000
D200331,0002,"LOT 20 AT SHOTLEY GROVE ROAD, SHOTLEY BRIDGE",Disposal,,11-Jan-13,20000
D200870,0002,"LAND AT ST. THOMAS' CHURCH, HARELAW",Disposal,,11-Jan-13,47000
D201814,0002,"LAND AT HARPERLEY LANE, HARPERLEY",Disposal,,11-Jan-13,38000
D201828,0002,"LAND AT LAMBTON GARDENS, BURNOPFIELD",Disposal,,11-Jan-13,22000
D400938,0003,"20 THORNHILL AVENUE, SHOTTON COLLIERY",Disposal,,11-Jan-13,30000
D401823,0005,12.28 HECTARES OF LAND FORMER GOLF RANGE WHEATLEY ,Disposal,,11-Jan-13,66000
D401840,0001,"LAND AT CROWS HOUSE, WHEATLEY HILL",Disposal,,11-Jan-13,8900
D401844,0002,"LAND TO THE NORTH OF PATTON STREET, WHEATLEY HILL",Disposal,,11-Jan-13,25000
D401844,0001,"LAND AT PATTON STREET, WHEATLEY HILL",Disposal,,11-Jan-13,12000
D401846,0002,"10 CROSSFIELD CRESCENT, SHOTTON COLLIERY",Disposal,,11-Jan-13,40000
HB04506,0003,"LOT 1 AT DADDRY SHIELD, PINFOLD MILL",Disposal,,11-Jan-13,31000
PL00218,0011,"LAND AT ADELAIDE BANK, ELDON LANE, BISHOP AUCKLAND",Disposal,,11-Jan-13,90000
PL00282,0026,0.70 HECTARES OF LAND EAST OF GRAND VIEW SHERBURN DURHAM COUNTY DURHAM,Disposal,,11-Jan-13,19000
SH00035,0026,LAND AT EAST HOUSE FARM CHILTON FERRYHILL,Disposal,,11-Jan-13,98000
PL00282,0027,2.61 HECTARES OF LAND EAST OF GRAND VIEW SHERBURN DURHAM COUNTY DURHAM,Disposal,,18-Jan-13,60000
PL00491,0052,LAND ADJACENT TO THE LIZARDS SEDGEFIELD STOCKTON-ON-TEES COUNTY DURHAM,Disposal,,23-Jan-13,14500
PL00491,0053,LAND ADJACENT TO THE LIZARDS SEDGEFIELD STOCKTON-ON-TEES COUNTY DURHAM,Disposal,,23-Jan-13,15500
D401823,0004,"LAND SITUATE AT FORMER GOLF RANGE, WHEATLEY HILL",Disposal,,31-Jan-13,62000
D400987,0002,"LAND AT DORMAND VILLAS, STATION TOWN, WINGATE",Disposal,,08-Feb-13,60000
PL00110,0060,"GRAZING LAND AT HIGH HANDENHOLD, DURHAM",Disposal,,11-Feb-13,15000
SS00075,0003,LYNWOOD HOUSE FORMER AGED PERSONS HOME,Disposal,,27-Feb-13,455011
D400029,0002,"LAND AT FRONT STREET, THORNLEY",Disposal,,01-Mar-13,80000
SS00151,0009,"FORMER GLENDALE HOUSE CARE HOME, BLACKHALL COLLIER",Disposal,,05-Mar-13,180000
D700701,0005,"23.55 SQ.M OF LAND ADJACENT 8 ARTHUR STREET, CROOK",Disposal,,19-Mar-13,1800
D700564,0004,"Land known as Dellside House, Low Willington",Disposal,,15-Apr-13,207239
D402677,0012,60 NEASHAM ROAD SEAHAM,Disposal,,16-Apr-13,2559.14
D201498,0002,"4.01 HECTARES AT KITSELL ROAD, LANCHESTER",Disposal,,17-May-13,52910
SS00242,0003,FORMER SOCIAL SERVICES OFFICE ,Disposal,,30-May-13,48010
SS00106,0008,"STANFIELD HOUSE, JOICEY SQUARE, STANLEY",Disposal,,06-Jun-13,135000
D800003,0002,LAND AT TRENT CRESCENT GREAT LUMLEY,Disposal,,11-Jun-13,10100
D202484,0003,BLACKHILL WOODLAND LAND AT FRONT STREET HOBSON BURNOPFIELD,Disposal,,18-Jun-13,63000
D201785,0065,"1.40 HECTARES AT BURNOPFIELD, CROOKGATE",Disposal,,20-Jun-13,25000
D700201,0013,"Transfer - Land adjoining 28 Bourne Way, Willington, Crook, County Durham",Disposal,,24-Jun-13,1
D700201,0012,"Transfer - Land adjacent 30 Bourne Way, Willington, County Durham",Disposal,,25-Jun-13,1
ED00775,0004,1.078 ACRES ADJOINING FINCHALE PRIMARY SCHOOL,Disposal,,12-Jul-13,506420
D402677,0013,"21 NEASHAM ROAD, SEAHAM",Disposal,,02-Aug-13,1870
D800005,0002,LAND AT BLACKHOUSE LANE EDMONDSLEY,Disposal,,08-Aug-13,19754
D800032,0002,LAND AT FLEECE TERRACE,Disposal,,28-Aug-13,30600
D401300,0002,"375 SQUARE METRES AT ST CUTHBERTS ROAD, THORNLEY",Disposal,,05-Sep-13,20750
D200065,0003,ALLENSFORD CARAVAN PARK,Disposal,,06-Sep-13,495000
ED00074,0007,"FORMER BOARD SCHOOL, FRONT STREET, STANLEY",Disposal,,09-Sep-13,107500
HB07168,0004,"LAND AT 8 SAWMILL COTTAGES, HILLTOP, DIPTON",Disposal,,01-Oct-13,3400
D401049,0002,"DEVELOPMENT AT FRONT STREET, SHOTTON",Disposal,,04-Oct-13,849477
D202534,0002,"LAND ADJACENT TO 28 ERRINGTON DRIVE, TANFIELD LEA",Disposal,,07-Oct-13,4400
ED00042,0005,"PHOENIX ARTS CENTRE, HARELAW, STANLEY",Disposal,,10-Oct-13,140000
D000788,0001,"LAND ADJOINING FAREWELL HALL FARM, DARLINGTON ROAD",Disposal,,16-Oct-13,25000
D402677,0014,"24 WOODLANDS, SEAHAM",Disposal,,18-Oct-13,2073.8
D403543,0002,"LAND AT GRANTS HOUSES, HORDEN",Disposal,,18-Oct-13,48000
PL00024,0013,LOT 14 6.69 HECTARES AUCKLAND PARK EAST COUNDON GRANGE,Disposal,,21-Oct-13,40000
D202692,0002,"FORMER BADAJOZ COTTAGES, SALTERS GATE, TOW LAW",Disposal,,25-Oct-13,3000
D402677,0016,"58 WOODLANDS, SEAHAM",Disposal,,25-Oct-13,2881
D200480,0002,"LAND AT PONT HEAD, LEADGATE (LOT 2)",Disposal,,28-Oct-13,27000
D200480,0003,"LAND AT PONT HEAD, LEADGATE (PLOT 3)",Disposal,,28-Oct-13,50000
